source,source_lean,title,description,url,published,scraped_at,language,full_text,mentions_johor,mentions_neg_sembilan,mentions_melaka
Malay Mail,centrist,"KTMB adds 124 ETS, EMU Plus services, nearly 39,000 seats for National Day, school holidays","KUALA LUMPUR, Aug 14 &mdash; Keretapi Tanah Melayu Berhad (KTMB) is adding 124 services with 38,944 seats for its Electr...",https://www.malaymail.com/news/malaysia/2026/08/14/ktmb-adds-124-ets-emu-plus-services-nearly-39000-seats-for-national-day-school-holidays/231397,"Fri, 14 Aug 2026 19:44:59 +0800",2026-08-14T20:51:27.544591,en,"KTMB adds 124 ETS, EMU Plus services, nearly 39,000 seats for National Day, school holidays KUALA LUMPUR, Aug 14 &mdash; Keretapi Tanah Melayu Berhad (KTMB) is adding 124 services with 38,944 seats for its Electr...",False,False,False
Malay Mail,centrist,"Malaysia to prioritise safety of Myanmar refugees before repatriation, says foreign minister","SEREMBAN, Aug 14 &mdash; Malaysia will prioritise the safety of Myanmar refugees before repatriating them to their home...",https://www.malaymail.com/news/malaysia/2026/08/14/malaysia-to-prioritise-safety-of-myanmar-refugees-before-repatriation-says-foreign-minister/231385,"Fri, 14 Aug 2026 18:45:09 +0800",2026-08-14T20:51:27.544591,en,"Malaysia to prioritise safety of Myanmar refugees before repatriation, says foreign minister SEREMBAN, Aug 14 &mdash; Malaysia will prioritise the safety of Myanmar refugees before repatriating them to their home...",False,True,False
Malay Mail,centrist,"Education minister: Pupil protection policy clarifies roles, does not burden teachers","KUALA LUMPUR, Aug 14 &mdash; The School Pupil Protection Policy is not intended to place sole responsibility for pupil s...",https://www.malaymail.com/news/malaysia/2026/08/14/education-minister-pupil-protection-policy-clarifies-roles-does-not-burden-teachers/231384,"Fri, 14 Aug 2026 18:42:24 +0800",2026-08-14T20:51:27.544591,en,"Education minister: Pupil protection policy clarifies roles, does not burden teachers KUALA LUMPUR, Aug 14 &mdash; The School Pupil Protection Policy is not intended to place sole responsibility for pupil s...",False,True,False
Malay Mail,centrist,"Sarawak plans third cloud seeding operation amid prolonged hot, dry weather","KUCHING, Aug 14 &mdash; The Sarawak state government, in collaboration with the National Disaster Management Agency (Nad...",https://www.malaymail.com/news/malaysia/2026/08/14/sarawak-plans-third-cloud-seeding-operation-amid-prolonged-hot-dry-weather/231383,"Fri, 14 Aug 2026 18:39:14 +0800",2026-08-14T20:51:27.544591,en,"Sarawak plans third cloud seeding operation amid prolonged hot, dry weather KUCHING, Aug 14 &mdash; The Sarawak state government, in collaboration with the National Disaster Management Agency (Nad...",False,True,False
Malay Mail,centrist,"Anwar: Govt measures help Malaysia weather West Asia crisis, sustain growth","KUALA LUMPUR, Aug 14 &mdash; The government&rsquo;s proactive response to the West Asia crisis, including financing supp...",https://www.malaymail.com/news/malaysia/2026/08/14/anwar-govt-measures-help-malaysia-weather-west-asia-crisis-sustain-growth/231380,"Fri, 14 Aug 2026 18:24:32 +0800",2026-08-14T20:51:27.544591,en,"Anwar: Govt measures help Malaysia weather West Asia crisis, sustain growth KUALA LUMPUR, Aug 14 &mdash; The government&rsquo;s proactive response to the West Asia crisis, including financing supp...",False,True,False
Malay Mail,centrist,"PM Anwar hails stronger Q2 expansion, says govt shielded households from global inflation","KUALA LUMPUR, Aug 14 &mdash; Prime Minister Datuk Seri Anwar Ibrahim today welcomed Malaysia&rsquo;s stronger than expec...",https://www.malaymail.com/news/malaysia/2026/08/14/pm-anwar-hails-stronger-q2-expansion-says-govt-shielded-households-from-global-inflation/231375,"Fri, 14 Aug 2026 17:26:08 +0800",2026-08-14T20:51:27.544591,en,"PM Anwar hails stronger Q2 expansion, says govt shielded households from global inflation KUALA LUMPUR, Aug 14 &mdash; Prime Minister Datuk Seri Anwar Ibrahim today welcomed Malaysia&rsquo;s stronger than expec...",False,True,False
Malay Mail,centrist,"Lim Guan Eng rebukes Penang CM Chow, disputes claim DAP delegates endorsed Umno partnership","GEORGE TOWN, Aug 14 &mdash; Lim Guan Eng has clarified that Penang Pakatan Harapan&rsquo;s (PH) decision to work with Um...",https://www.malaymail.com/news/malaysia/2026/08/14/lim-guan-eng-rebukes-penang-cm-chow-disputes-claim-dap-delegates-endorsed-umno-partnership/231373,"Fri, 14 Aug 2026 17:13:56 +0800",2026-08-14T20:51:27.544591,en,"Lim Guan Eng rebukes Penang CM Chow, disputes claim DAP delegates endorsed Umno partnership GEORGE TOWN, Aug 14 &mdash; Lim Guan Eng has clarified that Penang Pakatan Harapan&rsquo;s (PH) decision to work with Um...",False,False,False
Malay Mail,centrist,From FOMO to future jobs: PKR Youth motions put Gen Z outreach in focus,"MELAKA, Aug 14 &mdash; Youth issues took centre stage at the 2026 National Congress of Angkatan Muda Keadilan (AMK) toda...",https://www.malaymail.com/news/malaysia/2026/08/14/from-fomo-to-future-jobs-pkr-youth-motions-put-gen-z-outreach-in-focus/231370,"Fri, 14 Aug 2026 17:21:15 +0800",2026-08-14T20:51:27.544591,en,"From FOMO to future jobs: PKR Youth motions put Gen Z outreach in focus MELAKA, Aug 14 &mdash; Youth issues took centre stage at the 2026 National Congress of Angkatan Muda Keadilan (AMK) toda...",False,True,True
Malay Mail,centrist,Married couple plead guilty to causing death of three-month-old baby under their care in Johor,"JOHOR BAHRU, Aug 14 &mdash; A husband and wife were charged in the Sessions Court here today with causing the death of a...",https://www.malaymail.com/news/malaysia/2026/08/14/married-couple-plead-guilty-to-causing-death-of-three-month-old-baby-under-their-care-in-johor/231359,"Fri, 14 Aug 2026 15:48:06 +0800",2026-08-14T20:51:27.545110,en,"Married couple plead guilty to causing death of three-month-old baby under their care in Johor JOHOR BAHRU, Aug 14 &mdash; A husband and wife were charged in the Sessions Court here today with causing the death of a...",True,True,False
Malay Mail,centrist,"Nurul Izzah’s PKR leave has no end date yet, says party sec-gen","MELAKA, Aug 14 &mdash; Parti Keadilan Rakyat (PKR) has not set a timeframe for deputy president Nurul Izzah Anwar&rsquo;...",https://www.malaymail.com/news/malaysia/2026/08/14/nurul-izzahs-pkr-leave-has-no-end-date-yet-says-party-sec-gen/231355,"Fri, 14 Aug 2026 15:47:32 +0800",2026-08-14T20:51:27.545110,en,"Nurul Izzah’s PKR leave has no end date yet, says party sec-gen MELAKA, Aug 14 &mdash; Parti Keadilan Rakyat (PKR) has not set a timeframe for deputy president Nurul Izzah Anwar&rsquo;...",False,False,True
Malay Mail,centrist,Sabah looks to grow Kinabalu Unesco geopark with Tuaran’s natural treasures,"TUARAN, Aug 14 &mdash; The Sabah government is studying a proposal to expand the Kinabalu Unesco Global Geopark (KUGGp)...",https://www.malaymail.com/news/malaysia/2026/08/14/sabah-looks-to-grow-kinabalu-unesco-geopark-with-tuarans-natural-treasures/231351,"Fri, 14 Aug 2026 16:29:18 +0800",2026-08-14T20:51:27.545110,en,"Sabah looks to grow Kinabalu Unesco geopark with Tuaran’s natural treasures TUARAN, Aug 14 &mdash; The Sabah government is studying a proposal to expand the Kinabalu Unesco Global Geopark (KUGGp)...",False,False,False
Malay Mail,centrist,"Sim Tze Tzin dismisses PKR turmoil talk, says core leadership united under Anwar","GEORGE TOWN, Aug 14 — PKR strategy director Sim Tze Tzin today dismissed claims of internal turmoil in the party, saying...",https://www.malaymail.com/news/malaysia/2026/08/14/sim-tze-tzin-dismisses-pkr-turmoil-talk-says-core-leadership-united-under-anwar/231343,"Fri, 14 Aug 2026 14:16:17 +0800",2026-08-14T20:51:27.545110,en,"Sim Tze Tzin dismisses PKR turmoil talk, says core leadership united under Anwar GEORGE TOWN, Aug 14 — PKR strategy director Sim Tze Tzin today dismissed claims of internal turmoil in the party, saying...",False,False,False
Malay Mail,centrist,"Chow Kon Yeow says Penang DAP takes no stance, leaves Cabinet exit motion to delegates","GEORGE TOWN, Aug 14 &mdash; Penang DAP has not adopted an official position on a motion calling for the party to leave t...",https://www.malaymail.com/news/malaysia/2026/08/14/chow-kon-yeow-says-penang-dap-takes-no-stance-leaves-cabinet-exit-motion-to-delegates/231341,"Fri, 14 Aug 2026 14:04:17 +0800",2026-08-14T20:51:27.545110,en,"Chow Kon Yeow says Penang DAP takes no stance, leaves Cabinet exit motion to delegates GEORGE TOWN, Aug 14 &mdash; Penang DAP has not adopted an official position on a motion calling for the party to leave t...",False,False,False
Malay Mail,centrist,‘Being popular alone is not enough’: Youth chief tells PKR leaders to rebuild grassroots strength,"MELAKA, Aug 14 &mdash; Parti Keadilan Rakyat (PKR) needs to put forward a more compelling narrative to strengthen people...",https://www.malaymail.com/news/malaysia/2026/08/14/being-popular-alone-is-not-enough-youth-chief-tells-pkr-leaders-to-rebuild-grassroots-strength/231340,"Fri, 14 Aug 2026 14:20:05 +0800",2026-08-14T20:51:27.545110,en,"‘Being popular alone is not enough’: Youth chief tells PKR leaders to rebuild grassroots strength MELAKA, Aug 14 &mdash; Parti Keadilan Rakyat (PKR) needs to put forward a more compelling narrative to strengthen people...",False,False,True
